fooditems;energy_kcal;carbs;protein_g;fat_g;freesugar_g;fibre_g;cholestrol_mg;calcium_mg
Cabbagekheer(  Pattagobhikikheer );83.51;9.73;2.87;3.8;9.28;0.51;0.0;102.74
Carrotkheer(  Gajarkikheer );85.35;10.09;2.81;3.85;9.63;0.73;0.0;100.12
Cauliflowerkheer(  Phoolgobhikikheer );81.95;8.78;3.04;3.95;8.49;0.55;0.0;101.75
Moongdalkheer;77.16;9.89;2.95;2.97;7.92;0.4;0.0;75.66
Phirni;116.12;16.11;3.49;4.34;10.79;0.36;0.0;104.57
Semolinahalwa(  Sujikahalwa );225.65;24.67;2.16;13.38;13.98;1.86;30.82;11.77
Shahisujihalwa;382.34;44.44;3.48;21.73;27.21;2.96;50.05;18.64
Carrothalwa(  Gajarkahalwa );172.64;18.53;3.11;9.73;16.85;2.65;14.66;106.94
Egghalwa(  Andekahalwa );299.74;39.59;7.85;13.41;37.85;0.49;204.93;35.77
Potatohalwa(  Alookahalwa );151.66;29.18;1.53;3.48;17.42;1.64;6.23;14.15
Pumpkinhalwa(  Kaddukahalwa );190.27;27.6;1.33;8.81;26.64;2.97;9.52;24.34
Moongdalhalwa;349.8;40.23;8.35;17.68;25.59;2.65;34.81;110.4
Caramelcustard( steamed );121.58;15.02;4.97;4.87;14.98;0.0;78.88;88.12
Bakedcustard;106.53;9.45;5.41;5.3;9.42;0.0;85.92;95.32
Soft Custard( stirred );109.18;11.19;5.01;5.07;11.15;0.0;73.35;95.82
Chocolateicecream;177.7;15.41;4.47;11.25;15.33;0.0;68.26;84.24
Mangoicecream;125.69;11.14;3.4;7.62;11.01;0.52;55.21;67.17
Fruit Icecream(  Phalonka Icecream );171.46;16.05;4.37;10.38;14.03;0.33;17.12;93.35
Caramelicecream;173.52;14.81;4.31;11.15;14.52;0.08;54.79;87.32
Lemonsouffle;168.51;13.43;6.95;10.02;11.67;0.0;100.42;59.81
Orangesouffle;168.28;14.2;6.8;9.73;12.31;0.22;97.54;59.04
Vanillasouffle;187.85;14.78;7.71;11.19;12.86;0.0;109.43;70.6
Chocolatesouffle;189.32;14.74;7.88;11.36;12.69;0.0;108.18;71.55
Pineapplesouffle;196.14;15.52;8.06;11.72;13.45;0.0;117.82;67.23
Applemousse;106.92;12.77;4.21;4.27;10.56;1.6;57.67;33.76
Richchocolatemousse;188.26;10.84;7.96;12.19;10.3;0.0;111.71;54.59
Mangomousse;124.98;9.14;3.21;8.47;8.89;0.88;23.66;51.38
Orangeandpineapplecream;101.18;11.96;1.44;5.43;11.37;1.03;15.43;35.0
Charlotterousse;188.29;34.08;3.95;4.78;20.48;1.01;47.04;34.95
Trifflepudding;116.97;18.24;2.93;3.93;13.89;0.12;36.95;48.72
Snowflakespudding;95.21;8.07;4.67;4.97;8.01;0.03;57.55;101.33
Kulfi;98.43;11.3;3.21;4.7;10.39;0.12;0.0;111.86
Steamedorangepudding;278.03;41.53;2.34;12.04;26.53;0.58;31.86;21.15
Meringueandricepudding;112.93;14.6;4.84;4.05;10.87;0.17;40.85;85.43
Cheesepudding;285.01;19.27;11.29;18.37;18.63;0.05;99.76;226.11
Chocolatepudding;211.96;29.59;3.55;9.48;20.68;0.53;46.25;64.56
Breadandbutterpudding;167.94;19.63;5.59;7.88;11.84;0.98;55.29;105.54
Queenofpudding;132.92;16.35;5.51;5.38;11.77;0.27;60.59;78.26
Pineappleupsidedownpudding;257.73;35.73;3.15;11.91;22.16;0.8;62.13;26.05
Dateandnutpie;322.42;46.86;3.93;13.31;31.18;4.13;18.85;34.69
Stewedapplewithcustard;92.87;18.36;1.27;1.82;15.46;1.01;0.0;49.24
Applesnowballs;101.51;24.58;0.86;0.31;19.4;1.25;0.0;9.43
Hotorangesouffle;179.97;18.77;6.87;8.95;14.93;0.29;160.48;53.81
Hotchocolatesouffle;226.09;26.21;6.7;11.1;22.88;0.12;138.51;60.19
Hotvanillasouffle;192.93;21.77;6.87;9.07;18.17;0.13;153.55;63.2
Plainburfi(  Burfi );408.32;30.88;9.82;27.96;30.43;0.17;38.12;355.78
Coconutburfi(  Nariyalkiburfi );467.64;32.15;8.81;34.63;31.5;3.5;29.26;272.81
Bottlegourdburfi(  Ghiya/ Laukiburfi );275.96;24.51;5.86;17.68;23.92;0.73;26.43;215.85
Chocolateburfi;339.33;33.15;13.0;17.86;32.38;0.0;3.78;466.48
Cashewnutburfi(  Kajuburfi/ Kajukatli );421.74;37.92;5.48;28.46;31.43;1.12;38.62;12.95
Gramflourburfi(  Besanburfi );421.79;46.59;11.19;22.41;28.44;3.41;40.13;160.71
Semolinaladoowithkhoya(  Suji/ Ravaaurkhoyekeladoo );428.71;52.86;6.71;21.86;33.28;4.68;27.87;106.42
Semolinaladoowithcoconut(  Suji/ Ravaaurnariyalkeladoo );464.43;50.9;5.68;27.03;27.32;6.69;33.81;26.72
Gramflourladoo(  Besanladoo );476.91;62.61;8.93;22.76;37.76;4.43;52.34;25.35
Sesameladoo(  Tilkeladoo );396.96;43.5;10.7;19.64;38.63;7.72;0.0;631.82
Chennamurki;252.69;36.01;10.46;8.2;35.55;0.0;0.0;266.85
Milkcake;127.41;9.13;3.01;8.93;8.9;0.06;11.56;104.94
Ghujia/ Lavanglatika;768.98;13.0;1.86;78.93;6.08;0.52;4.62;31.01
Gulab Jamunwithkhoya;586.06;26.09;2.03;53.23;24.12;0.07;0.0;67.32
Malpua;566.68;17.56;1.71;54.64;11.77;0.62;0.0;30.05
Shahitukre;189.81;41.46;2.76;2.54;34.7;0.51;0.0;76.47
Potatopakora/pakoda(  Aloopakoda );677.19;6.04;1.9;71.84;0.22;1.03;0.0;6.59
Onionpakora/pakoda(  Pyaazkepakode );674.61;5.41;1.9;71.84;0.88;1.11;0.0;7.95
Cauliflowerpakora/pakoda(  Phoolgobhikepakode );671.63;4.52;1.98;71.86;0.23;1.26;0.0;8.44
Mixedvegetablepakora/pakoda;673.81;5.12;1.94;71.86;0.38;1.13;0.0;9.55
Spinachpakora/pakoda(  Palakpakoda );712.62;4.68;1.96;76.38;0.2;1.02;0.0;10.99
Methipakora/pakoda(  Methikepakode );713.25;4.68;2.06;76.39;0.25;1.18;0.0;23.07
Eggpakora/pakoda(  Andekepakode );710.51;4.48;2.83;75.86;0.19;0.86;28.39;9.55
Breadpakora/pakoda;710.99;8.87;2.57;74.2;0.46;1.11;0.0;19.83
Paneerpakora/pakoda;718.12;5.52;3.27;76.05;1.08;0.89;0.0;43.38
Potatobonda(  Aloobonda );632.84;4.53;1.09;67.8;0.27;0.83;0.0;6.79
Potatosamosa(  Alookasamosa );577.39;9.21;1.71;59.19;0.29;1.19;2.33;7.63
Mincedmeatsamosa(  Keemakasamosa );620.99;6.14;4.43;64.26;0.5;0.39;16.71;6.7
Paneerandpeasamosa(  Paneermatarkasamosa );623.81;8.55;4.02;63.65;1.69;1.02;0.0;64.56
Mathri;805.12;12.32;1.75;83.1;0.29;0.6;0.0;5.23
Khastakachori;712.73;12.81;2.51;72.27;0.34;0.97;0.0;7.84
Vegetablecutlet;665.45;4.68;1.25;71.33;0.35;0.93;6.77;13.55
Flattenedricecutlet(  Chirwacutlet/ Chivdacutlet/ Pohacutlet );701.71;7.39;1.76;73.89;0.27;0.86;6.9;9.17
Peanutcutlet(  Mungfalikecutlet );698.77;5.68;2.63;74.0;0.51;1.21;6.75;14.38
Fishcutlet(  Machlikacutlet );654.64;3.13;2.77;70.11;0.29;0.54;11.02;10.44
Paneerpotatocutlet(  Paneeraloocutlet );672.94;5.23;2.47;71.4;1.02;0.41;13.33;45.36
Spinachchickpeascutlet(  Palakchannadalcutlet );688.03;4.93;1.44;73.6;0.16;0.93;6.98;11.3
Cheesetoast;785.37;5.49;1.98;84.11;0.53;0.31;11.55;43.87
Vegetableburger;519.93;13.69;3.26;50.63;1.88;1.7;7.4;26.08
Cheesepizza;249.5;30.62;5.79;12.43;3.42;1.95;10.64;96.51
Vegetableseekhkebab;690.73;5.32;1.57;73.72;0.74;0.59;0.0;32.66
Masalavada;826.02;4.06;1.69;89.15;0.24;1.07;0.0;7.45
Peanutsagovada(  Sabudanamungfalivada );749.89;7.14;1.01;79.82;0.19;0.62;0.0;5.03
Vegeterianscotchegg;681.67;4.64;2.16;72.77;0.23;0.58;34.24;15.2
Paneershaslik/tikka;93.85;7.98;5.11;4.49;4.61;1.23;0.0;123.86
Peanutbrittle(  Moongfalikichikki );320.46;47.46;6.94;11.13;43.92;2.63;2.5;68.03
Springroll;623.87;8.56;1.81;64.63;0.6;0.67;12.15;9.51
Drymangochutney(  Sookheaamkichutney );298.13;69.17;2.43;0.7;61.86;3.74;0.0;72.05
Peanutchutney(  Mungfalikichutney );258.37;9.87;11.8;19.06;2.76;5.73;0.0;34.79
Coconutchutney(  Nariyalkichutney );265.92;8.29;3.59;25.0;3.79;6.73;0.0;15.7
Mintandcorianderchutney(  Pudinayaurdhaniyekichutney );102.6;21.18;2.81;0.51;15.88;4.33;0.0;107.45
Custardtart;225.6;28.66;3.72;10.73;9.31;0.91;22.28;57.47
Lemontart;303.35;30.68;6.12;17.45;10.68;0.81;123.17;24.03
Jamtart;360.72;46.18;4.42;17.35;14.74;1.14;44.15;12.23
Orangecreamtart;197.16;27.43;2.58;8.72;10.08;0.64;22.13;13.84
Pineappletart;195.4;28.62;2.29;8.21;11.09;0.87;20.7;12.02
Cheeseandmushroomtart;246.1;21.43;5.51;15.28;3.16;1.18;37.99;100.97
Cottagecheesepie;238.98;20.66;7.45;13.83;3.62;2.21;20.86;108.05
Mincedmeatpie;221.55;18.11;7.38;13.04;1.42;2.33;34.57;18.14
Applecinnamonpie;258.73;33.68;3.35;12.21;11.95;1.77;36.52;16.14
Lemonmeringuepie;224.43;35.11;3.88;8.16;21.17;0.44;75.3;16.79
Chocolatemeringuepie;214.76;28.8;4.98;9.17;15.03;0.37;64.11;55.98
Creampuffs;221.33;16.0;4.7;15.48;5.94;0.38;100.48;37.93
Chocolateeclairs;239.42;26.22;4.24;13.5;17.34;0.33;85.94;34.21
Cheeseballs;681.28;4.81;2.21;72.57;0.63;0.18;37.78;30.01
Mincedmeatpatties;265.72;15.25;6.88;19.57;0.88;0.77;81.36;19.23
Cheesepatties;324.01;22.23;7.38;22.67;3.93;1.24;0.0;126.41
Hotcheesesouffle;177.1;5.41;9.18;13.23;2.91;0.12;149.14;169.17
Hotpotatosouffle;125.64;8.56;5.51;7.64;1.78;0.66;109.09;56.84
Hotfishsouffle;142.92;3.69;11.23;9.24;1.68;0.1;122.69;58.18
Hotspinachsouffle;104.25;4.19;5.43;7.24;1.64;0.99;100.84;80.77
Plaincreamcake;353.94;47.18;6.18;16.17;27.74;0.71;120.92;41.95
Applecake(  Sebkacake );290.08;39.48;4.94;12.87;23.52;1.22;94.69;38.99
Marblecake;354.11;46.88;6.3;16.27;27.56;0.71;120.14;39.6
Chocolatecake;335.61;45.14;6.01;15.18;27.58;0.64;109.36;41.13
Orangecake;357.61;48.28;6.1;16.21;28.38;0.83;123.67;29.72
Fruit Loaf;324.19;46.49;5.36;13.31;24.54;0.87;90.0;45.71
Bananacake(  Kelekacake );389.51;40.0;5.77;23.31;23.04;1.14;68.99;23.55
Chocolatechiffoncake;311.71;37.87;5.76;15.8;24.25;0.7;93.35;42.15
Christmascake;372.95;48.29;5.49;16.88;27.45;1.49;97.81;40.98
Strawberryandvanillacakewithbuttericing;370.54;44.25;3.89;20.39;32.43;0.79;101.12;28.17
Egglesscake;318.08;46.14;8.12;11.75;27.7;0.68;27.68;212.97
Swissroll;251.87;48.34;7.3;3.77;32.96;0.55;144.66;24.11
Pineapplepastry;208.21;29.04;6.06;7.87;18.83;0.72;115.34;42.97
Blackforestpastry;233.55;34.48;6.09;8.46;21.35;0.54;113.03;44.15
Coconutfinger;274.86;42.56;7.09;8.86;28.55;1.87;127.97;24.04
Pineapplecake;195.57;23.51;5.01;9.34;16.16;0.76;92.79;49.06
Chocolatewalnutcookies(  Chocolateaurakhrotkecookies );424.8;47.1;6.56;23.62;22.58;1.54;69.03;36.1
Chocolatechipcookies;425.29;57.98;5.79;19.38;30.29;1.05;75.98;24.76
Sweetplainbiscuit;380.76;50.29;5.86;17.67;21.77;1.07;76.89;42.88
Chocolatebiscuit;379.76;51.56;5.88;17.09;24.16;1.01;72.66;41.51
Coconutbiscuit(  Nariyalkebiscuit );434.98;42.9;5.78;27.16;20.76;3.64;64.98;37.81
Sweetandsaltybiscuit(  Meethayaurnamkeenbiscuit );407.96;45.09;6.15;22.39;7.22;1.68;55.18;37.24
Peanutbiscuit;401.05;46.72;8.45;20.41;21.26;2.48;61.88;50.58
Pinwheelbiscuit;404.6;54.56;5.4;18.66;23.25;1.16;44.65;42.7
Saffronbiscuit(  Kesarbiscuit );458.61;59.7;6.05;22.01;22.42;1.9;49.64;25.71
Masalabiscuit;393.64;45.18;6.06;20.75;6.82;2.14;51.29;53.73
Iceboxcookies;374.24;56.09;5.7;14.44;26.69;1.28;70.82;18.5
Gingerbreadman;365.0;60.26;6.61;11.01;29.12;1.6;75.31;37.92
Danishcookies;475.33;58.0;5.33;24.92;21.73;1.37;63.58;15.97
Shortbreadcookies;443.09;64.82;6.03;17.98;23.31;1.57;45.48;15.92
Coffeebiscuit;416.57;46.55;6.9;23.0;21.69;1.59;63.97;48.92
Meltingmoments;437.91;55.84;5.71;21.78;25.0;1.88;80.33;30.39
Gingerbiscuit(  Adarakkebiscuit );417.91;58.44;5.98;18.31;27.06;1.49;81.73;25.97
Soyabeanmuthias;839.33;3.7;2.46;90.45;0.17;1.47;0.0;12.16
Soyabeantikki;698.17;4.39;3.53;74.02;0.35;2.2;0.0;29.23
Soyabeannamakparas;838.46;4.65;2.65;89.83;0.22;1.41;0.0;12.13
Peanutburfi(  Moongfalikiburfi );550.99;48.14;9.31;36.84;43.08;4.09;0.0;25.2
Spinachpeanutnamakparas(  Palakmoongfalinamakparas );740.16;6.62;1.65;78.51;0.28;0.81;0.0;13.35
Gramflourandsemolinachilla/cheela/savorypancake(  Besansujichilla/cheela );758.89;7.63;2.08;80.04;0.25;1.39;0.0;12.13
Ricemoongdalcheela(  Chawalaurmoongdalkacheela );798.26;11.13;2.74;82.44;0.15;1.18;0.0;4.99
Splitbengalgramsweetrice(  Channadalsweetrice );190.21;41.07;4.15;0.64;19.41;2.23;0.0;30.37
Sweetpoori(  Meethipoori );782.75;14.26;2.12;79.63;7.15;1.54;0.0;34.24
Wheatflourandmoongdalburfi(  Attaaurmoongdalkiburfi );441.08;60.0;9.84;18.41;31.12;6.02;35.14;25.2
Spinachburfi(  Palakburfi );121.17;12.76;2.71;6.81;12.12;1.17;5.65;93.68
Sweetsplitchickpearoti(  Sweetchannadalroti/ Puranpoli );366.59;62.66;9.51;7.93;24.73;8.16;15.56;53.3
Sproutedmoongdaliya;111.56;14.77;2.81;4.71;1.67;3.12;0.0;22.62
Sproutedmoongpoha;192.6;26.6;5.59;6.89;1.93;3.13;0.0;28.39
Pearlmilletladoo(  Bajraladoo );319.66;50.98;9.61;8.06;27.44;6.0;0.0;118.74
Paushtikladoo;485.87;60.34;7.65;24.98;38.12;4.57;52.71;20.67
Paushtikroti;149.26;26.59;7.17;1.51;2.03;5.74;0.0;52.74
Semolinacarrotvada(  Sujigajarvada );699.53;6.52;1.56;74.07;1.21;1.07;1.18;26.47
Dhokla;216.49;30.68;13.45;5.28;4.78;4.95;5.16;123.21
Kashmiritea(  Kehwa );24.9;5.23;0.17;0.51;5.14;0.16;0.0;3.19
Steepedhotcoffee;15.91;3.01;0.39;0.33;2.96;0.0;0.0;10.4
Hotchocolate;90.01;9.02;3.43;4.61;8.86;0.0;0.02;113.63
Coldcoffee( withcream );82.76;11.98;1.93;3.29;11.91;0.0;3.29;64.43
Bananamilkshakewithicecream(  Kelekamilkshakeicecreamkesaath );76.45;11.15;2.01;2.77;9.94;0.27;1.3;68.3
Flavouredmilkshake;66.78;8.65;2.06;2.83;8.61;0.0;0.0;75.05
Jaljeera;30.24;6.7;0.44;0.26;5.71;0.95;0.0;24.72
Gingo;48.02;12.42;0.14;0.06;12.08;0.17;0.0;6.33
Mintade;40.32;10.59;0.03;0.02;10.47;0.03;0.0;2.1
Canjee;6.61;0.44;0.24;0.42;0.21;0.36;0.0;5.82
Cauliflowercanjee(  Phoolgobhikicanjee );6.9;0.35;0.39;0.42;0.09;0.49;0.0;6.26
Potatocanjee(  Aloocanjee );16.26;2.69;0.44;0.39;0.1;0.43;0.0;5.21
Vermicelliporridge(  Semiya/ Seviyanporridge );78.4;10.56;2.5;2.98;7.04;0.48;0.62;72.96
Semolinaupma(  Suji/ Ravaupma );147.89;16.31;3.3;7.49;1.31;3.24;0.0;21.57
Vermicelliupma(  Semiya/ Seviyanupma );149.11;16.88;3.11;7.45;1.4;3.21;0.0;20.3
Riceupma;151.27;17.96;2.63;7.46;1.13;2.12;0.0;17.57
Breadupma;129.51;12.6;2.8;7.75;1.56;1.96;0.0;45.22
Vegetableupma;146.47;16.46;4.73;6.63;1.39;4.19;0.0;26.68
Poha;294.53;35.05;6.09;14.14;0.87;3.72;0.0;37.67
Vegetablepoha;180.52;21.52;4.89;8.07;1.4;3.76;0.0;28.01
Moongdalstuffedcheela/chilla(  Moongdalkacheela/chilla );154.89;19.42;6.97;5.11;1.11;4.25;0.0;39.34
Paneerstuffedcheela/chilla;205.19;19.16;11.44;8.89;3.81;4.03;0.0;151.3
Indianstyleeggbhujia(  Andabhujia(  Indianstyle ) );102.83;3.76;6.1;7.02;1.95;1.53;145.28;31.9
Frenchomelette/omlet;211.04;0.41;10.03;18.86;0.1;0.38;300.44;46.35
Puffyomelette/omlet;188.15;0.08;8.82;16.84;0.08;0.0;268.82;34.96
Orangeomelette/omlet;194.66;1.68;8.93;16.84;1.68;0.0;268.82;37.33
Cheeseandmushroomomelette/omlet;205.63;1.68;9.69;17.82;1.07;0.93;184.53;148.77
Spanishomelette/omlet;157.45;5.1;8.25;11.44;1.03;2.54;145.23;31.72
Mixedstock;25.19;0.33;2.06;1.71;0.2;0.15;10.55;2.06
Meatstock;24.48;0.0;2.1;1.78;0.0;0.0;11.03;0.86
Whitestock;6.99;0.4;0.07;0.56;0.24;0.17;1.39;1.58
Meatconsomme( withmutton );29.76;0.51;14.86;13.68;0.24;0.71;0.0;115.88
Consommeaujulienne;27.76;1.49;12.49;10.66;0.83;1.38;6.4;85.89
Consommeauvermicelli;29.94;1.3;15.23;12.98;0.27;0.81;7.85;97.34
Greenpeasoup(  Matarkasoup );39.81;3.63;11.06;12.9;0.87;2.49;4.16;46.63
Spinachsoup(  Palakkasoup );32.59;3.03;10.54;14.26;0.29;1.98;4.24;56.23
Mixedvegetablesoup;35.71;2.95;8.22;11.66;1.64;1.64;3.87;50.69
Cheesesoup;41.13;1.87;12.39;17.07;0.84;1.8;9.56;83.65
Mulligatawnysoup;54.42;8.24;11.26;13.28;1.26;2.6;3.05;43.89
Creamofcarrotsoup;59.77;5.69;8.27;12.35;1.77;1.98;6.67;57.24
Creamofbroccolisoup;56.14;3.72;8.97;12.75;1.59;1.89;7.67;66.55
Creamofpotatosoup;60.2;6.14;8.1;12.05;1.24;1.51;6.53;51.97
Almondsoup(  Badamkasoup );78.65;3.68;10.13;13.8;1.94;0.91;28.18;114.95
Coldcucumbercreamsoup;11.88;1.76;0.34;0.34;0.51;0.73;0.72;8.02
Coldtomatosoup;16.9;0.59;0.11;1.56;0.22;0.16;3.88;4.2
Chickenstew;127.55;4.44;7.19;8.91;1.43;1.82;32.34;31.53
Vegpaneerstew;145.55;10.22;6.98;8.41;4.85;3.08;0.0;160.51
Onion-greenchilliparantha/paratha(  Pyaazaurharimirchkaparantha/paratha );191.27;26.37;4.37;7.27;2.71;5.16;0.0;24.91
Methiparantha/paratha;148.36;22.19;4.27;4.34;2.44;5.09;0.0;65.85
Bathuapoori;598.79;13.85;2.35;59.14;0.41;1.87;0.6;30.83
Gramflourpoori(  Besanpoori );697.66;10.93;2.59;71.51;0.35;1.94;0.73;7.09
Beetrootpoori(  Chukandarkipoori );527.66;12.29;1.91;52.18;0.54;1.4;0.53;5.38
Peaspoori(  Matarkipoori );592.83;14.92;3.04;57.69;0.48;2.25;0.59;8.96
Peaskachori(  Matarkachori );584.68;13.25;3.21;57.51;0.5;2.03;0.0;14.25
Pizza;146.77;9.94;6.85;8.72;1.38;1.71;18.65;77.23
Baconandmushroompancake;157.67;8.47;6.82;10.6;1.23;1.59;39.23;44.74
Cheeseandtomatopancake;147.39;10.66;5.15;9.28;3.48;1.06;38.27;127.51
Mincedmeatpancake( withchicken );116.04;8.18;12.01;10.48;1.29;0.7;33.26;64.72
Eggplant/ Brinjalrice(  Vangibhat );184.8;31.74;5.28;3.67;4.36;4.44;0.0;36.02
Kashmiri'tahar';98.21;19.11;1.95;1.37;0.17;0.98;3.02;3.93
Cuminpulao(  Jeera/ Zeerapulao );135.24;23.61;2.47;3.2;0.64;1.4;0.0;7.25
Peaspulao(  Matarpulao );108.87;18.42;3.89;1.9;1.3;3.21;0.0;18.18
Splitbengalgramdalandvegetablepulao(  Channadalandvegetablepulao );116.53;19.72;3.6;2.3;1.59;3.16;0.0;19.09
Blackchannapulao/ Bengalgrampulao(  Kalechanekapulao );125.51;21.55;3.44;2.58;1.99;2.69;0.0;16.51
Muttonpulao;130.77;11.26;6.52;10.78;1.0;1.65;2.35;49.87
Chickenpulao;108.24;11.17;6.07;8.48;0.99;1.64;11.55;32.25
Mexicanrice;120.57;14.21;4.62;4.88;1.44;1.64;11.9;14.51
Plainkhitchdi(  Plainkhichri/khichdi );57.03;10.04;1.72;1.01;0.12;0.85;2.14;5.05
Instantidli( withsemolina );247.29;43.4;9.16;3.61;3.35;7.13;3.12;93.2
Plaindosa;380.91;64.08;10.34;8.43;0.7;5.23;19.9;19.35
Masaladosamixedvegetablefillings;144.53;23.02;4.84;3.26;1.53;4.31;5.18;31.79
Masaladosapaneerfillings;243.12;29.76;10.31;8.84;4.81;3.11;7.29;171.23
Uttapam;255.95;36.28;6.18;9.03;1.5;4.4;10.57;40.86
Appam;267.7;13.28;3.12;22.63;4.16;6.19;0.0;6.36
Beansandmacaroni;136.08;14.24;4.58;7.01;1.68;2.05;19.67;86.86
Spaghettibolognese;97.43;10.04;9.35;9.51;1.41;1.08;13.91;73.66
Meatandmacaronicasserole;161.55;16.12;9.15;10.17;1.0;1.19;2.13;68.28
Spaghettiwithmeatballsandtomatosauce;158.13;10.46;5.61;10.64;1.87;1.11;16.15;40.82
Spaghettiwithpaneerballsandtomatosauce;158.54;12.72;3.95;10.44;3.03;1.25;2.57;80.73
Lasagnewithmeatsauce;63.38;5.38;2.9;3.43;1.04;0.47;8.8;24.61
Lasagnewithvegetables;49.23;5.9;1.71;2.16;1.37;0.66;2.81;32.89
Homemadeeggnoodles;240.84;42.92;6.55;4.37;1.03;1.6;38.27;15.96
Sourlentils(  Khattidal );34.79;6.04;2.22;0.12;1.25;1.22;0.0;8.29
Uradspecialdehusked;69.43;8.86;3.14;2.17;1.32;2.5;4.62;16.4
Arharwithspinach(  Arhardalaurpalak );52.84;4.77;2.05;2.76;0.23;1.3;6.1;21.81
Moongdalwithvadi;24.08;1.0;0.4;2.05;0.45;0.39;4.75;2.99
Rasamwithtamarind(  Pulirasam/ Chintapandurasam/ Charu/ Saaru );26.74;3.37;1.13;0.88;0.83;1.6;0.0;16.56
Rasamwithlemon(  Nimmakayarasam/ Nimmakayacharu/ Elumichairasam/ Nimbehanninasaaru );24.41;2.85;1.11;0.87;0.44;1.54;0.0;15.56
Greengramwholewithbaghar(  Sabutmoongdalwithtadka );63.43;6.8;3.23;2.48;0.15;3.02;5.45;25.04
Uradsabutspecial;79.39;5.03;2.33;5.46;0.86;2.15;13.38;21.45
Kabulichannacurry;68.57;7.63;2.92;3.06;1.24;1.12;0.15;32.03
Besangattecurry;189.38;16.26;7.75;10.72;4.5;3.25;2.8;151.08
Drymasalachops;135.07;3.3;9.08;9.54;2.27;0.86;2.24;112.25
Muttonkorma;115.64;2.53;7.09;8.54;1.64;0.78;3.9;79.07
Shahikeemakoftacurry;418.13;1.73;4.14;43.83;0.78;0.91;14.97;14.51
Mincedmeatballcurry;109.79;2.86;6.82;7.85;1.27;1.49;24.77;23.84
Botikebab;132.86;3.06;9.22;9.27;2.09;0.76;1.21;98.67
Muttonseekhkebab;133.94;3.11;11.25;8.43;1.4;1.88;0.0;117.44
Indianlambandeggcurry(  Nargisikofta );335.75;2.07;3.84;34.7;0.75;0.6;44.04;12.91
Soyachunkssweetandsour(  Nutrinuggetsweetandsour );500.94;3.27;2.85;55.99;1.1;0.86;23.51;13.89
Soyachunkskorma(  Nutrinuggetkorma );131.43;7.67;3.86;9.5;4.66;2.57;3.32;89.7
Mushroommatar;70.77;5.33;2.79;4.11;1.39;3.13;0.0;21.42
Soyachunksandpeas(  Nutrinuggetmatar );82.62;5.82;3.03;5.11;1.64;2.86;0.0;20.32
Vegetableyakhni;406.06;1.94;1.18;43.8;1.44;0.61;1.92;43.67
Spinachmushroom(  Palakmushroom );47.63;2.95;1.94;2.96;1.0;2.27;2.89;49.75
Vegetariannargisikoftacurry;332.15;6.58;2.29;32.94;1.65;0.86;1.03;47.09
Roastchicken;199.9;0.1;20.49;13.06;0.05;0.03;69.66;13.61
Shahichickenmasala;163.7;4.07;9.82;12.02;2.86;0.96;24.78;82.68
Tomatochicken;111.68;2.13;10.57;6.71;0.93;1.42;27.94;21.24
Creamychicken;152.87;3.13;13.52;9.57;2.11;0.69;39.28;50.37
