fooditems;energy_kcal;carbs;protein_g;fat_g;freesugar_g;fibre_g;cholestrol_mg;calcium_mg
Broccolichickenalaking;119.56;5.34;7.97;7.57;2.49;1.92;27.85;73.36
Gingerchicken;129.17;5.6;8.24;8.24;1.95;1.21;19.24;18.41
Chickensweetandsour;445.09;2.67;6.92;47.59;0.89;0.58;32.47;21.98
Chickenkorma;147.96;5.43;9.83;9.67;3.32;1.82;23.66;68.66
Bengalfishcurry(  Bengalimachlicurry );109.43;4.42;7.26;7.03;2.39;1.93;13.92;44.44
Fishfinger;542.9;4.47;5.66;55.82;0.17;0.34;30.0;11.38
Fishincoconutmilk(  Nariyalkedoodhkesaathmachli );86.21;2.73;8.66;4.43;1.55;1.52;17.13;21.94
Prawncurry( withcoconut )(  Jhingacurry );109.55;3.1;8.54;6.93;2.03;1.56;37.12;37.25
Bakedstuffedfish;121.96;2.12;16.14;5.43;0.35;0.38;36.95;18.8
Fishpie;120.9;7.74;9.25;5.77;1.13;0.76;23.97;36.15
Crispybakedfish;138.4;9.59;10.95;6.41;1.53;1.21;28.89;60.04
Fishsouffle;139.71;5.14;10.51;8.55;2.09;0.19;84.69;63.87
Potatocurry(  Alookisabzi );89.56;10.42;1.52;4.47;1.58;2.42;0.0;23.74
Eggcurry(  Andacurry );117.52;4.03;5.38;8.81;1.9;2.09;120.74;41.59
Vegetablecurrywithcoconut;83.07;7.19;2.77;4.66;1.41;3.35;0.0;19.63
Curdwithpotatoes(  Dahialoo );59.9;7.15;1.56;2.72;1.82;1.19;1.45;36.36
Potatokoftacurry(  Alookoftacurry );455.4;2.78;0.56;49.08;0.63;0.56;2.6;7.77
Yamkoftacurry(  Zimikand/ Surankoftacurry );322.88;3.75;0.71;33.84;0.63;1.04;3.54;8.35
Jackfruitkoftacurry(  Kathalkakoftacurry );321.08;3.17;0.8;33.83;2.4;0.96;3.54;11.36
Spinachandpotato(  Palakaloo );57.17;5.91;1.63;2.82;0.93;2.04;0.0;43.67
Moolibhujia;91.2;4.74;1.69;7.25;1.07;2.36;0.0;131.88
Bathuabhujia;90.9;3.63;2.26;7.29;1.08;3.8;0.0;165.84
Cabbagerolls( dry )( (  Pattagobhirolls )( dry ) );142.48;6.09;8.21;9.36;1.26;1.84;32.9;31.54
Cabbagerolls( curry )( (  Pattagobhirolls )( curry ) );124.63;7.03;5.76;8.17;3.81;2.35;18.79;29.82
Dryarbi(  Sookhiarbi );134.95;11.11;2.12;8.97;1.55;2.47;0.0;22.77
Masalaarbi;185.38;16.16;3.01;11.9;0.81;3.1;0.0;32.08
Peasbrinjalbhartha(  Matarbainganbhartha );84.55;5.02;2.05;6.05;1.57;3.63;0.0;19.63
Okra/ Lady'sfingersfry(  Bhindisabzi/sabji/subji );110.81;4.5;1.83;9.27;1.42;3.57;0.0;67.88
Crispyokra/ Crispylady'sfingers(  Kararebhindi );657.76;4.35;1.91;70.4;0.26;1.75;0.0;27.61
Beansfoogath;105.06;3.26;2.03;9.22;1.7;4.15;0.0;44.2
Stuffedbittergourd( wet )(  Bharwakarele );162.36;4.68;1.36;15.24;1.95;2.86;0.0;17.25
Jackfruit/ Kathal( dry );488.97;4.56;0.93;51.78;3.55;1.33;0.0;12.79
Yamfried(  Zimikand/ Suranfried );491.76;5.47;0.79;51.79;0.8;1.44;0.0;8.11
Vegetablejalfrezi;68.48;5.43;1.4;4.38;1.79;2.97;0.0;27.11
Vegetablesstirfry;30.78;3.19;1.04;1.47;0.86;1.37;0.0;13.3
Broccolidelight;40.7;2.34;2.49;2.48;1.08;2.83;0.0;26.99
Dhansak( vegetarian );82.8;7.28;3.32;4.18;0.91;4.17;0.0;26.4
Cauliflowerbasket;90.95;3.97;5.21;5.88;1.47;2.4;51.1;100.19
Stuffedbottlegourd(  Stuffedghiya/lauki );93.19;4.36;5.84;5.8;1.52;1.18;45.61;71.83
Ducheesepotato;140.54;10.94;3.6;9.01;0.29;1.29;85.15;18.1
Roastpotatoes;87.32;14.52;1.53;2.35;0.33;1.71;5.51;10.38
Stuffedbakedpotatoes;100.2;11.03;3.82;4.39;0.4;1.31;72.99;25.72
Potatonests;111.62;11.05;5.71;4.77;1.41;2.49;26.5;55.25
Parsleypotato;119.51;13.81;1.49;6.28;0.34;1.59;15.71;11.43
Creamedspinachandmushroom;419.62;3.17;2.28;44.14;1.17;1.02;7.15;65.49
Fricasseeof Mushroom;106.66;8.13;3.65;6.63;2.51;1.23;13.55;84.97
Caulifloweraugratin;145.9;9.13;4.45;10.2;3.01;1.44;22.15;119.69
Vegetableandcheesepie;126.88;8.76;4.03;8.28;2.69;1.91;18.88;99.48
Spinachsouffle;150.18;6.27;7.36;10.52;0.89;1.44;114.71;133.69
Beetrootandeggsalad(  Chukandaraurandekasalad );84.92;3.4;3.36;6.45;1.97;0.55;82.25;18.13
Sourcreampotatosalad;121.9;9.05;2.89;8.13;0.84;1.21;47.29;23.25
Tossedgreensalad;49.88;3.82;1.33;3.24;1.9;1.33;0.0;33.71
Springbasketsalad;160.46;11.61;3.36;11.3;1.46;3.09;8.17;45.65
Cucumberandyogurtsalad(  Kheereaurdahikasalad );36.13;4.72;2.09;0.93;2.28;1.66;2.87;68.49
Chickenandtomatotowers;100.55;2.36;6.9;6.99;1.21;1.14;20.73;17.54
Jelliedsunshinefruitsalad;48.86;4.21;5.85;0.85;2.86;1.8;0.0;37.14
Tomatoaspic;50.37;5.02;6.87;0.26;3.21;1.58;0.0;44.28
Frozenfrostyfruitsalad(  Phalonkasalaad );103.51;15.61;1.68;4.17;14.38;0.26;26.33;28.61
Frenchdressing;733.77;3.68;0.32;79.65;3.01;0.22;0.0;6.98
Mayonnaisewithouteggs;329.05;3.98;2.13;33.84;3.68;0.04;0.0;75.54
Curddressing;78.8;8.03;5.59;2.9;7.57;0.22;10.52;194.59
Carrotraita(  Gajarkaraita );64.78;7.19;4.14;2.19;5.99;1.69;6.98;146.72
Pumpkinraita(  Kaddukaraita );55.6;6.02;3.74;1.88;5.48;1.04;6.47;130.11
Mintandpeanutraita(  Pudinayaurmoongfalikaraita );112.05;7.31;7.05;6.19;6.17;1.79;8.26;191.01
Spinachraita(  Palakkaraita );52.75;5.06;3.95;1.86;3.97;1.39;5.41;142.96
Bathuaraita;54.4;5.31;4.13;1.76;4.11;2.19;5.41;206.31
Pineappleraita(  Ananaskaraita );67.74;8.62;3.9;2.02;8.12;1.39;6.93;134.53
Bananaraita(  Kelekaraita );89.03;13.51;4.13;2.07;10.11;1.0;6.93;133.23
Mangoraita(  Aamkaraita );67.37;8.23;3.9;2.14;7.87;0.89;6.93;136.06
Guavaraita(  Amaroodkaraita );64.36;7.27;4.19;2.07;6.71;3.0;6.93;136.93
Grapesraita(  Angoorkaraita );72.59;9.66;3.98;2.07;8.51;0.71;6.93;134.52
Bottlegourdkheer(  Ghiya/ Laukikheer );84.07;10.0;2.7;3.86;9.63;0.55;0.0;94.18
Pumpkinkheer(  Kaddukikheer );86.35;10.44;2.76;3.86;10.12;0.63;0.0;95.61
Applekheer(  Sebkikheer );81.3;11.34;2.14;3.18;10.71;0.51;0.0;75.67
Caramelcustard( baked );122.7;14.95;5.11;5.01;14.92;0.0;81.15;90.59
Vanillaicecreamwithoutegg;228.67;14.21;2.69;18.15;13.45;0.0;41.7;81.27
Vanillaicecreamwithegg;214.85;11.71;4.16;17.02;11.69;0.0;86.75;77.42
Strawberryicecream;215.61;12.26;4.15;16.96;11.6;0.0;86.39;77.08
Chocochipicecream;241.45;16.75;4.23;17.93;16.08;0.0;79.34;73.22
Choconuticecream;273.96;23.13;5.04;18.49;21.02;0.51;65.65;67.38
Pearchocholatesunday;183.49;15.02;2.08;13.11;14.41;0.07;29.11;56.67
Chocolatesauce;263.2;43.21;1.91;10.39;42.06;0.0;21.3;18.8
Coffeeicecream;150.62;14.09;3.15;9.43;13.35;0.0;22.23;95.72
Coffeepearalaska;203.99;19.36;2.88;13.22;16.88;0.15;28.43;60.61
Crunchybutterscotch;277.32;19.92;3.11;20.99;17.73;0.47;46.39;72.26
Peachmelbaicecream;200.85;16.31;2.06;14.51;13.35;0.06;33.23;60.55
Vanillaicecreamwithapplesinhotcherrysauce;196.32;22.75;1.73;11.45;14.19;0.26;26.15;56.34
Grapeandorangewhip;57.39;6.72;1.41;2.62;5.66;0.97;6.51;17.4
Honeybananacream;125.49;13.64;2.78;6.68;10.51;0.7;14.27;43.52
Raspberrybavariancream;150.1;17.82;3.34;7.88;15.3;2.19;19.94;26.4
Fruitdelight;107.09;9.11;2.09;7.09;9.03;0.09;12.28;71.69
Creamychocolatemousse;230.52;9.53;6.85;18.16;8.99;0.0;129.13;45.25
Coldlemonsouffle;169.87;15.62;5.89;9.78;13.88;0.0;98.14;55.03
Coldorangesouffle;173.19;16.27;5.94;9.82;14.42;0.11;98.65;55.45
Coldpineapplesouffle;181.22;16.85;6.23;10.39;14.99;0.0;104.39;57.13
Coldvanillasouffle;179.54;16.29;6.22;10.32;14.49;0.0;100.85;62.47
Coldchocolatesouffle;187.53;17.22;6.37;10.86;15.31;0.0;98.07;62.91
Stewedfruit( withpear );74.32;18.22;0.25;0.32;17.67;2.84;0.0;5.94
Apricotfool;240.79;33.64;1.54;11.35;21.29;1.0;27.58;26.37
Pavlova;200.6;21.84;1.84;12.29;20.37;0.06;31.94;23.0
Applecrumbpudding;220.85;35.17;1.54;8.87;27.69;1.33;21.68;38.49
Steamedcakewithchocolatesauce;301.91;29.06;4.49;19.01;19.72;0.29;78.72;67.76
Hotlemonsouffle;155.25;16.31;5.29;7.93;12.07;0.14;116.79;48.77
Gulabjamunwithmilkpowder;471.15;28.24;0.85;40.15;27.04;0.05;1.25;26.13
Chumchum;130.05;28.27;1.52;1.92;27.84;0.02;0.1;62.58
Dilbahar;130.05;28.27;1.52;1.92;27.84;0.02;0.1;62.58
Rasbhari;130.05;28.27;1.52;1.92;27.84;0.02;0.1;62.58
Rajbogh;133.7;28.16;1.71;2.28;27.66;0.11;0.1;63.23
Rasgulla;118.64;25.79;1.38;1.75;25.4;0.01;0.09;57.09
Rasmalai;135.55;29.17;1.61;2.11;28.71;0.07;0.09;62.31
Khoacoconutburfi;411.45;36.55;9.98;26.01;35.6;4.07;0.0;309.84
Danedarburfi;102.68;12.33;3.24;4.72;11.98;0.09;0.0;107.53
Semolinaburfi(  Suji/ Ravaburfi );348.67;47.1;3.47;16.86;28.67;2.8;39.41;14.86
Pumpkincoconutburfi(  Kadduaurnariyalkiburfi );186.18;17.02;1.75;12.66;16.11;4.29;5.11;21.76
Khoaladoo;396.02;34.43;12.21;24.09;33.37;3.08;0.0;358.61
Wheatandgramflourladoo(  Attabesanladoo );501.7;50.5;9.38;29.86;18.46;6.01;60.99;35.27
Semolinaladoowithnuts(  Suji/ Ravaladoowithnuts );441.84;48.02;5.44;25.45;19.79;4.27;58.8;18.04
Sesamechickpeasbrittle(  Tilaurchannekichikki );282.74;50.49;8.5;4.66;36.48;5.54;0.0;150.73
Murmurachikki;253.82;59.59;2.12;0.32;48.27;0.37;0.0;63.3
Masalaonionpakora/pakoda(  Pyaazkepakode );551.64;6.48;2.05;57.61;1.58;1.44;0.0;11.06
Masalagreenchillipakora/pakoda(  Harimirchkaypakode );668.76;5.55;2.22;71.01;0.27;1.34;0.0;8.58
Chickenpakora/pakoda;590.09;4.55;6.03;60.98;0.22;0.96;11.98;9.08
Fishpakora/pakoda;577.03;4.55;5.97;59.52;0.22;0.96;9.04;12.65
Paneercutlet;672.2;7.62;4.59;69.38;2.52;0.39;0.0;107.86
Sagocutlet/vadas(  Sabudanacutlet/vadas );558.76;11.23;0.56;56.97;0.1;0.54;0.0;5.43
Poshtikcutlet;496.45;7.39;2.0;50.94;0.32;1.35;0.0;14.94
Eggcutlet(  Andacutlet );575.02;5.77;2.45;60.25;0.2;0.58;45.0;16.22
Mincedmeatcutlet;531.86;5.61;5.1;54.47;0.31;0.4;16.5;20.82
Vegetablesamosa;443.11;13.22;2.21;42.22;0.74;1.52;4.06;10.37
Plainuraddalvada(  Uzunnevada/ Minapagarelu/ Ulunduvadai/ Meduvada );745.5;9.7;4.39;76.32;0.16;2.27;0.0;10.6
Masalauraddalvada;703.78;9.93;4.32;71.62;0.7;2.71;0.0;11.87
Khaman( dhokla );54.73;5.36;1.92;2.8;1.36;1.49;0.0;5.31
Instantdhokla;207.11;24.11;7.66;9.37;6.86;3.57;2.59;66.58
Tomatogingerchutney(  Tamataradarakkichutney );44.66;9.11;1.05;0.32;6.31;2.14;0.0;23.63
Minttomatochutney(  Pudinayaurtamatarkichutney );43.65;8.22;1.53;0.36;5.48;2.63;0.0;47.59
Corianderchutney(  Haredhaniyekichutney );42.86;8.16;1.38;0.37;5.5;2.47;0.0;39.8
Gooseberrychutney(  Amlachutney );43.02;8.83;1.44;0.62;0.06;4.58;0.0;46.4
Walnutchutney(  Akhrotkichutney );370.43;8.91;9.44;33.46;4.4;3.04;3.33;119.57
Saunth/ Sonthchutneywithginger;84.22;20.62;0.28;0.11;19.04;0.31;0.0;15.17
Gunpowderchutney;312.34;47.65;21.55;2.67;1.16;13.95;0.0;68.87
Dessicatedcoconutchutney(  Sookhekasenariyalkichutney );346.36;36.72;12.88;15.88;10.41;13.16;0.0;73.55
Curdmintdip;76.13;9.11;4.82;2.44;7.83;0.77;8.34;172.79
Curdvegetabledip;56.21;6.04;3.88;1.94;5.42;0.63;6.59;129.58
Mayonnaisevegetabledip;241.27;4.8;3.01;23.44;4.39;0.41;29.91;91.42
Tomatoandcucumbersandwich(  Tamataraurkheerekasandwich );150.68;20.51;4.03;6.31;1.79;2.1;13.52;76.75
Tomatosandwich( grilled );189.92;21.29;6.26;9.39;2.58;1.91;24.95;150.9
Frenchsandwich( toasted );186.75;14.82;6.82;11.51;1.82;1.37;104.86;100.73
Peanutbuttercucumbersandwich;243.33;29.76;9.04;10.56;2.91;3.35;0.0;95.35
Mintandpeanutsandwich;273.59;31.83;7.18;13.88;2.78;3.67;21.7;114.99
Spicychutneysandwich;249.58;34.03;8.74;9.58;3.96;3.73;2.86;154.53
Chickenwalnutsandwich(  Chickenaurakhrotkesandwich );285.78;22.62;12.58;16.77;1.77;1.53;31.68;78.45
Rolledsandwich;293.07;34.69;6.45;15.29;2.7;2.07;35.25;117.68
Ribbonsandwich;239.26;24.76;6.26;13.37;4.66;2.92;34.85;157.85
Checkerboardsandwich;348.37;25.94;7.37;24.65;2.9;2.22;64.42;188.02
Submarinesandwich;216.92;13.6;6.09;15.32;2.5;1.24;62.46;72.35
Cheeseopensandwich;274.07;28.42;9.84;14.24;3.24;1.74;28.38;256.25
Sunsetandsunriseopensandwich;241.31;18.89;8.58;15.14;1.95;1.39;123.49;114.07
Danishluncheonsandwich;193.82;17.77;9.03;10.1;1.13;1.52;124.4;77.13
Chickenandcornopensandwich;188.16;19.21;8.63;8.83;2.48;1.67;31.78;65.13
Chocolatespongecake;239.86;39.54;9.13;5.51;25.0;0.52;173.46;33.99
Chocolateswissroll;306.08;26.97;6.01;19.76;18.83;0.29;138.28;42.79
Lemoncurdfilling;225.62;26.41;3.43;12.58;26.13;0.0;118.13;16.39
Jamfilling;184.62;46.15;0.0;0.0;41.54;0.0;0.0;0.0
Chocolatepastry;243.37;32.24;7.05;10.12;22.34;0.32;121.03;50.7
Assortedpastry;230.74;31.99;6.78;8.91;19.7;0.43;131.02;47.2
Orangegateau;178.05;27.01;4.78;6.02;18.33;0.68;87.91;41.69
Blackforestgateau;217.82;30.57;5.94;8.58;21.97;0.28;107.21;46.79
Lemoncake;373.85;43.1;5.29;20.63;25.84;0.62;123.01;32.77
Dundeecake;396.62;41.4;7.78;22.7;21.3;1.81;111.12;58.11
Victoriansandwichcake;373.09;44.74;5.18;19.83;28.18;0.59;117.02;36.25
Chocolateegglesscake;312.01;43.45;6.66;13.19;34.2;0.32;35.49;185.38
Orangeegglesscake;355.62;52.65;7.16;13.82;37.87;0.56;40.97;205.84
Chocolateglaceicing;436.29;62.43;3.22;20.8;59.88;0.0;44.49;26.75
Buttericing;500.72;71.64;0.19;25.37;71.64;0.0;65.74;12.48
Chocolatebuttericing;469.59;61.72;3.21;24.77;59.82;0.0;54.9;31.87
Almondbiscuit(  Badamkebiscuit );407.74;52.14;6.25;19.7;22.19;1.5;73.79;44.05
Orangebiscuit;354.78;62.11;3.63;11.01;42.63;0.75;51.51;20.35
Gingermanbiscuit;357.43;55.24;6.26;12.73;21.64;2.0;70.42;41.35
Coffeedrops;443.07;43.06;7.57;27.16;18.27;1.88;94.23;57.09
Christmasbiscuit;406.07;60.97;5.67;15.88;26.01;2.17;64.54;29.07
Christmaswreathbiscuit;386.05;58.07;5.43;15.01;24.89;2.28;60.87;29.71
Christmasbellbiscuit;404.85;60.79;5.66;15.84;25.94;2.33;64.34;32.0
Christmasstarbiscuit;392.03;74.54;3.54;10.04;53.05;1.47;35.98;22.75
Christmastreebiscuit;385.63;58.41;5.43;15.0;24.77;2.65;60.87;35.04
Chocolatecreamshells;427.17;59.26;5.1;19.34;34.72;0.9;80.56;28.53
Jellybiscuit;404.61;55.24;4.23;19.33;29.76;2.02;44.67;36.46
Cherryandwalnutcookies;422.6;59.35;5.63;18.75;30.37;1.3;60.15;46.27
Cheesestraws;382.0;30.61;9.83;24.28;1.79;1.29;201.93;160.64
Butterflybiscuit;341.45;25.33;9.98;22.11;2.44;1.02;169.12;202.49
Flanpastry;445.8;47.84;6.72;25.04;6.22;1.58;102.33;21.85
Fruitflan;261.35;34.71;3.3;12.48;9.52;0.71;49.52;19.28
Orangecreamflan;280.28;36.16;4.73;13.59;25.27;0.63;119.55;27.9
Fruitpureetart;286.5;30.42;3.35;16.83;9.79;1.31;42.87;19.64
Applebananapie;243.99;32.12;3.13;11.39;12.96;1.89;24.66;21.23
Lemonchiffonpie;259.31;27.63;4.88;14.52;11.39;0.66;70.3;34.43
Orangechiffonpie;207.57;23.14;3.89;11.16;10.46;0.7;53.94;30.34
Creambuns;215.74;14.16;4.45;15.81;5.95;0.31;93.93;45.27
Savourypuffs;190.79;10.8;9.51;15.24;4.51;0.33;70.73;68.83
Chouxswans;216.34;14.92;4.35;15.6;6.13;0.35;92.21;44.67
Potatoaigrettes;530.03;8.01;2.35;54.24;0.73;0.45;49.7;9.2
Creamhorns;408.23;23.12;3.42;33.55;7.12;0.6;93.08;30.93
Savourycheesehorns;295.15;21.38;5.66;20.71;2.74;0.73;50.63;121.83
Paneerpatties;338.58;22.79;7.6;23.96;4.04;1.18;45.19;129.9
Vegetablepatties;261.92;20.98;4.01;17.74;1.49;2.62;39.33;18.96
Pearlmilletinfantfood(  Bajrashishuaahaar );362.44;62.1;11.98;6.62;26.06;7.84;0.0;118.52
Sajina;345.26;66.87;10.81;3.03;25.89;7.62;0.0;54.4
Cerealmix;120.81;21.84;3.32;2.02;10.68;2.03;0.0;21.4
Pulsemix;83.29;16.0;3.16;0.54;6.59;2.25;0.0;14.93
Shishuahar;93.37;17.42;2.61;1.43;6.61;1.02;0.0;13.78
Cerealpulsemixwithamylasericeflour;151.57;27.8;4.27;2.74;8.84;3.47;0.0;12.61
Bananagroundnutpaste/puree;213.19;36.15;4.27;5.45;31.67;1.7;0.0;74.93
Ricedalporridge(  Chawaldalkikhichdi/khichri );383.33;65.04;10.8;8.33;26.54;4.51;0.0;50.46
Lentilsandsemolinaporridge(  Dalsujiporridge/daliya );117.29;23.19;3.26;1.06;13.84;1.44;0.0;44.74
Spinachkhichri(  Palakkhichri/khichdi );102.18;17.35;3.43;1.91;0.21;1.56;0.0;10.43
Vegetablemix;174.21;36.02;4.7;0.94;27.36;1.93;2.2;90.06
Lentilsandwheatporridge(  Dalwheatporridge/daliya );52.54;8.36;2.71;0.94;0.92;1.28;0.0;26.28
Maizeporridge;89.57;15.64;2.14;1.89;7.69;1.68;0.0;17.02
Spinachpeanutburfi(  Palakaurmungfalikiburfi );105.37;13.59;3.36;4.39;11.5;2.07;0.0;40.95
Splitbengalgramburfi/fudge(  Channadalburfi );287.36;54.63;4.65;7.09;43.38;2.06;15.06;16.44
Chickpeaflourcookies(  Sweetbesanrounds/cookies );207.01;39.64;4.29;3.42;30.66;2.56;6.15;54.95
Pearlmilletmathri(  Bajramathri );785.08;7.42;1.82;83.12;0.16;1.36;6.55;4.63
Sesamebiscuit(  Tilkebiscuit );424.03;53.65;8.27;19.34;29.73;6.83;28.19;298.06
Fermentedbengalgramvada(  Khameerikrit/ Ufnahuachannadalkavada );657.57;8.68;4.05;67.19;0.35;2.65;0.0;20.5
Poshtiknamakparas;613.39;19.52;6.49;56.58;0.87;4.55;14.3;60.74
Soyachikki;423.7;62.89;7.18;15.51;45.47;3.55;32.71;81.25
Besanbathuachilla/cheela;373.82;40.65;11.48;18.57;1.45;7.79;40.83;64.75
Wheatflourandnutsladoos(  Attanutsladoos );391.9;44.31;9.46;19.19;15.94;7.3;25.45;127.29
Gramflourandsemolinadhokla(  Besansujidhokla );198.91;25.92;8.52;7.1;2.58;4.59;1.39;66.66
Attadalburfi;298.8;40.64;6.66;12.47;21.08;4.08;23.81;17.07
Soyaroti;283.96;40.03;9.18;9.23;1.58;8.71;0.02;53.42
Poshtikkhichdi/khichri;93.37;15.64;3.04;1.88;0.26;2.0;0.0;30.41
Namkeendaliya;295.11;49.32;8.29;7.99;0.82;8.57;0.0;35.98
Sproutsupma;316.25;44.96;9.5;10.44;1.67;7.16;0.0;36.78
Semolinaidli(  Suji/ Ravaidli );206.39;33.67;9.34;3.47;3.42;5.85;3.48;100.85
Poshtikchilla/cheela;159.53;27.47;4.85;3.04;1.22;4.91;0.0;18.18
Stuffedbittergourd( dry )(  Bharwakarela );217.65;2.49;1.29;22.38;0.07;3.0;0.0;16.72
Cauliflowerpotatocanjee;16.79;2.63;0.57;0.39;0.13;0.69;0.0;6.78
Creamedspinach;96.91;4.44;5.18;6.39;1.59;1.33;59.6;122.3
Mangomilkshakewithicecream(  Aammilkshakeicecreamkesaath );68.35;9.18;1.93;2.8;9.11;0.23;1.3;69.36
Pineapplemilkshakewithicecream(  Ananasmilkshakeicecreamkesaath );68.49;9.33;1.93;2.75;9.2;0.42;1.3;68.78
Orangemilkshakewithicecream(  Narangimilkshakeicecreamkesaath );67.82;9.15;1.95;2.75;9.0;0.16;1.3;69.8
Woodapplejuice(  Belkasharbat );34.18;6.51;0.63;0.7;5.75;1.03;0.0;11.85
Sattudrink;23.38;5.16;0.56;0.14;3.96;0.4;0.0;1.59
Appleandhoneysorbet(  Sebaurshehadkasharbat );121.3;30.74;0.15;0.29;29.18;1.13;0.0;9.11
Thandai;101.18;9.13;3.59;5.89;8.21;0.8;0.0;112.31
Cucumbersharbat(  Kheerekasharbat );27.28;6.64;0.26;0.06;5.46;0.78;0.0;6.49
Appleoatschiaseedsmoothie;85.64;13.07;3.49;2.48;5.76;1.44;4.32;88.89
Nannarisharbat;88.79;23.62;0.01;0.01;23.58;0.0;0.0;2.67
Semolinamilkdrink(  Tharikanji );44.16;6.93;0.98;1.36;3.88;0.72;0.93;8.26
Saffronmilk(  Kesariyadoodh );102.18;12.64;3.17;4.57;12.5;0.14;0.0;110.88
Blackricekheer(  Chak-haokheer );147.94;22.93;4.37;4.91;12.57;0.76;0.0;94.89
Coconutkheer(  Nariyalkikheer );162.61;14.42;3.4;10.55;13.73;1.53;3.22;89.52
Applesagopayasam(  Sebaursabudanakikheer );136.5;14.4;3.13;7.66;10.63;0.38;10.85;102.11
Kesaribath;244.57;31.38;2.4;12.59;20.16;1.65;27.84;7.7
Putharekulu;318.3;59.61;3.66;7.55;23.86;1.75;18.39;6.11
Mangomalpua;334.64;12.84;1.65;30.67;4.96;2.08;75.21;10.64
Mangovanillacustard;147.63;18.41;3.43;7.04;14.62;0.99;0.35;84.86
Kiwigranolapudding;280.99;32.33;5.6;15.36;15.08;3.71;20.27;62.2
Oatsburfi;425.19;62.47;8.89;17.27;32.93;4.96;10.33;128.58
Lotusseedhalwa(  Kamalgattaykahalwa );370.55;39.56;7.79;20.69;9.8;0.42;45.24;82.84
Amaranthladoo(  Rajgiraladoo );454.15;51.33;10.12;22.7;19.92;5.11;33.64;144.58
Chhenapoda;344.57;33.64;13.68;17.94;30.65;1.4;3.31;295.29
Sweetcouscousdessert;196.2;29.69;3.81;7.69;15.89;2.18;9.37;30.94
Sweetenedyogurt(  Shrikhand );107.18;16.02;5.27;2.89;15.81;0.08;9.95;183.02
Thickenedsweetenedmilk(  Rabri );102.79;10.55;3.52;5.35;10.09;0.19;0.0;111.87
Gramflourhalwa(  Besanhalwa );276.79;25.78;5.88;17.3;15.83;1.82;33.12;77.42
Prawnsandwich;169.65;11.89;10.36;9.27;1.21;1.55;40.7;75.53
Watercresssandwich;229.42;28.03;5.17;11.47;1.81;2.26;26.56;98.16
Fishsandwich;150.2;10.09;4.72;10.37;1.04;1.23;8.41;47.28
Kidneybeansandwichwithcottagecheese;176.64;18.86;9.85;6.84;3.69;3.66;2.67;166.63
Fingermilletbiscuit(  Ragibiscuit );458.56;52.69;4.03;25.79;16.9;5.97;64.19;207.04
Buttermilkbiscuit;322.54;34.93;5.76;17.5;3.44;1.18;45.41;67.16
Lemoncookies;394.48;42.19;5.63;23.02;23.47;0.78;82.16;72.04
Sweetpotatobiscuit(  Shakarkandkebiscuit );296.4;38.13;5.14;13.31;2.53;2.27;33.83;56.34
Raspberryshortbreadcookies;441.12;61.25;3.0;21.25;40.86;0.75;54.36;13.81
