fooditems;energy_kcal;carbs;protein_g;fat_g;freesugar_g;fibre_g;cholestrol_mg;calcium_mg
Pumpkincookies;218.4;44.69;2.51;3.93;31.62;1.06;22.23;19.36
Greenpeacookies;159.42;23.07;6.53;4.24;14.45;5.32;0.0;48.45
Sunflowercookies;520.62;40.06;9.49;36.28;24.28;3.95;26.38;70.45
Cardamomcookies(  Elaichicookies );400.49;53.99;5.1;19.12;38.99;2.79;111.21;25.21
Hazelnutcookies;493.32;39.44;6.25;34.97;22.01;2.45;46.99;47.43
Milkcookies;459.43;48.43;10.49;24.96;22.06;0.99;67.93;251.59
Cranberrycookies;272.48;36.39;3.92;12.66;19.96;1.13;58.22;36.16
Olivebiscuit;438.29;55.01;3.2;23.75;32.27;0.82;48.63;10.76
Tuttifruittibiscuit;420.78;53.12;5.21;17.9;15.75;5.43;44.48;23.81
Peachblueberrypreserves;177.38;45.76;0.53;0.2;45.33;1.14;0.0;9.03
Pearpreserves(  Naashpatikamurabba );101.24;25.67;0.25;0.19;25.19;3.06;0.0;6.57
Starfruitpreserves;128.93;33.62;0.24;0.12;33.47;0.78;0.0;5.24
Gooseberrypickle(  Amlakaachaar );278.58;7.61;1.55;27.61;0.36;3.7;0.0;31.17
Lotusstempickle(  Kamalkakdikaachar );102.69;20.07;1.44;1.6;2.53;8.58;0.0;137.73
Datepickle(  Khajoorkaachaar );182.29;34.66;1.68;4.21;30.47;5.2;0.0;41.49
Garlicpickle(  Lahasunkaachar );413.62;9.75;3.72;39.88;2.32;5.13;0.0;54.66
Fermentedbambooshootpickle(  Mesupickle );59.83;1.73;1.58;5.59;0.29;2.24;0.0;16.62
Sweetpeachpickle(  Aadookaachaar );144.64;37.01;0.46;0.2;36.46;1.32;0.0;11.99
Pickledmustardgreens;13.12;1.05;1.51;0.22;0.02;1.7;0.0;81.44
Smallonionpickle;16.86;2.76;1.65;0.64;2.99;1.09;0.0;31.95
Greentomatopickle(  Haraytamatarkaachaar );193.26;2.87;1.23;19.67;0.77;1.74;0.0;14.22
Pickledcabbage;13.69;2.56;0.39;0.14;2.08;0.61;0.0;15.96
Coconutpickle(  Nariyalkaaachar );517.26;11.53;3.02;51.71;8.98;6.35;0.0;44.78
Potatopickle(  Alookaachaar );369.14;7.87;2.07;36.46;0.82;2.21;0.0;48.46
Mangomurabbacandy;293.35;77.32;0.27;0.05;74.73;0.95;0.0;16.55
Afghanichicken;151.51;1.95;15.66;9.07;0.83;0.31;42.14;35.14
Fishorly;563.7;4.27;5.87;58.18;0.24;0.33;11.78;9.55
Hariyali Fish Tikka;150.24;2.21;14.01;9.41;0.83;0.99;43.28;34.86
Chickenmanchurian;142.34;6.06;9.53;11.96;0.9;0.41;37.88;26.52
Handichicken;166.02;1.49;12.32;12.46;0.75;0.67;33.71;26.85
Lemonchicken;169.79;0.55;20.2;9.66;0.16;0.16;60.15;17.4
Lemonbutterfish;160.25;0.75;16.38;10.26;0.23;0.36;46.11;18.66
Bakedeggsintomatosauce;80.05;3.78;4.92;5.22;2.03;0.01;77.26;71.94
Egginapepper;128.78;0.17;12.64;8.68;0.05;0.17;345.88;48.25
Spinachmushroomscrambledegg(  Palakmushroombhurji );158.85;0.59;13.28;11.51;0.1;0.39;276.56;140.31
Cornomelette/omlet;166.93;1.57;11.37;12.89;0.41;0.02;253.36;96.22
Cajunchicken;184.94;1.94;12.69;13.99;1.1;0.89;39.32;156.98
Paanerdopyaza;127.7;3.41;4.22;10.87;2.2;0.84;15.07;57.22
Cabbagemanchurian(  Pattagobhimanchurian );224.26;4.85;0.64;22.48;0.33;0.37;0.18;3.18
Gobi65;278.29;3.59;0.56;29.11;0.29;0.57;0.29;12.37
Paneerlababdar;105.48;3.37;3.98;8.46;1.96;1.16;7.19;55.56
Roastedcauliflowersteak;78.68;2.02;2.05;6.7;0.44;3.53;0.0;24.47
Sauteedradisheswithgreenbeans;94.32;6.04;2.41;6.61;1.78;3.52;7.44;40.2
Garlicchutney/ Poonduchutney(  Lahasunkichutney );255.51;20.44;3.34;17.55;13.36;5.15;0.0;63.51
Schezwanchutney;205.19;10.79;3.33;17.72;5.66;5.72;0.79;35.46
Onionchutney(  Pyaazkichutney/ Vengayachutney );143.94;13.52;2.97;8.38;6.8;4.6;0.0;28.5
Dateschutney(  Khajoorkichutney );103.57;21.69;1.07;1.12;18.68;3.41;0.0;28.72
Chickensalad;338.19;1.3;15.33;30.26;0.96;2.0;47.62;43.19
Macaronisalad;262.19;21.63;5.02;17.78;3.73;0.56;58.64;35.7
Cabbageraita(  Pattagobhiraita );84.84;5.25;3.24;5.76;4.21;0.93;16.26;118.49
Pomegranateraita(  Anaarkaraita );72.64;7.15;4.05;3.24;7.01;0.6;4.67;138.31
Onionraita(  Pyaazkaraita );71.56;7.86;4.86;2.43;7.07;0.65;8.61;163.8
Greenchilliraita(  Harimirchkaraita );77.13;7.66;5.58;2.92;7.49;0.26;10.52;193.58
Kalesalad;177.71;5.01;4.86;15.33;3.31;1.36;6.12;109.11
Spinachandpaneersouffle;186.19;9.64;7.56;13.49;2.81;1.07;76.02;114.32
Masalasouffle;123.51;8.02;6.38;7.37;1.84;1.24;86.45;103.68
Chickenandcheesesouffle;182.35;3.47;9.07;14.74;2.46;0.26;89.24;61.71
Tamarindchutney(  Chintapandupachadi/ Pulichutney );109.15;25.07;0.88;0.48;22.85;1.65;0.68;40.3
Pavbhajimasala;230.47;29.15;9.13;10.96;1.48;24.3;0.0;588.91
Greenchutney;79.42;10.01;5.42;1.6;0.92;5.84;0.0;112.74
Sagokhitchdi/khichri(  Sabudanakhitchdi/khichri );187.16;22.41;2.72;10.1;1.03;1.82;12.24;15.13
Gramflourchilla/cheela(  Besanchilla/cheela );135.93;21.03;7.8;2.85;1.87;4.25;0.0;28.38
Vegetablenamkeenjave;112.23;18.98;2.93;2.51;1.04;2.86;3.41;10.32
Khakhra;178.5;27.66;4.78;5.32;0.88;5.43;0.0;21.27
Moongbeandosa(  Pesarattu );285.96;31.91;12.32;11.67;2.9;6.04;17.86;36.44
Methithepla;346.16;41.34;8.98;15.95;2.98;7.56;1.85;73.51
Riceputtu(  Ariputtu );81.98;11.82;1.26;3.13;0.33;0.76;0.0;4.96
Buckwheatpancake(  Khura );263.3;27.28;2.91;16.43;0.64;0.56;41.31;11.32
Quinoakhichdi/khichri;64.01;8.83;3.18;1.59;0.69;2.58;2.61;24.59
Khakhrachaat;358.66;16.64;4.52;30.65;3.26;3.04;0.06;24.49
Bananaappam;469.81;20.06;1.17;42.53;9.95;0.67;0.0;13.74
Vegmanchurian;585.64;6.82;0.89;61.65;0.76;1.16;0.0;16.79
Pavbhaji;96.53;11.99;2.66;4.32;2.06;1.98;8.91;24.86
Ricemurukku;593.99;33.29;5.41;48.22;0.17;2.18;5.32;24.63
Bhelpuri;509.89;16.47;3.52;47.91;3.41;2.24;0.0;24.22
Semolinadhokla(  Suji/ Ravadhokla );194.91;30.86;5.44;5.2;1.85;5.12;0.0;31.17
Spicycornchaat;479.8;11.45;4.61;46.55;0.95;2.17;3.89;17.28
Jackfruitfritters(  Ponsamulik/ Kathalkapakora );597.79;24.0;2.34;54.41;11.48;1.5;0.0;24.62
Bananachips(  Kelekechips );665.67;7.32;0.37;70.46;4.37;0.65;0.0;2.01
Wheatcake;314.63;41.13;4.79;14.95;25.79;2.76;40.13;98.91
Mangocheesecake;152.46;20.06;2.39;7.3;15.36;1.14;16.9;55.1
Carrotcake(  Gajarkacake );255.59;35.98;5.6;10.27;23.96;2.93;11.61;156.1
Semolinacake(  Suji/ Ravacake );374.14;31.32;6.58;25.18;18.86;5.37;27.06;128.28
Fingermilletcake(  Ragicake );279.46;38.93;3.96;12.27;24.76;2.35;25.2;118.38
Honeycake;333.59;49.04;3.08;14.7;33.43;0.51;1.54;50.86
Almondcardamomcake(  Badamelaichicake );356.35;34.53;7.18;21.36;18.06;2.35;74.32;81.29
Tuttifrutticake;347.72;52.94;4.49;12.68;28.08;0.85;2.46;61.41
Hamand Beansoup;96.04;4.18;10.61;4.15;1.43;0.54;25.92;20.52
Wheysoup;68.91;6.26;3.45;3.34;5.87;0.84;0.83;164.92
Bottlegourdsoup(  Ghiya/ Laukisoup );23.05;1.16;0.45;1.79;0.39;0.96;0.72;15.14
Bakedpotatosoup;147.05;5.85;5.73;11.21;3.44;0.3;26.31;106.56
Pumpkinsoup;40.05;2.08;0.47;3.2;1.47;1.19;0.86;12.17
Sweetcornsoup;32.25;3.56;0.99;1.63;0.9;0.31;0.0;3.72
Paneersoup;47.85;2.42;3.22;2.8;1.98;0.28;0.0;82.76
Curried Cauliflowersoup;37.32;3.12;6.72;9.77;1.79;2.34;4.77;37.25
Milletsoup;55.99;8.22;11.26;12.57;1.45;2.82;1.45;65.21
Lemoncoriandersoup;108.06;10.32;2.27;6.26;2.2;6.77;0.0;102.57
Garlicsoup;194.86;6.99;2.38;17.62;2.39;1.66;22.92;60.55
Dalmakhani;74.04;7.96;3.32;3.06;0.8;2.27;7.25;20.62
Dalma;118.93;15.04;4.91;4.58;3.1;2.16;0.0;54.28
Splitbengalgramdal(  Channadal );99.67;9.99;4.15;4.62;0.98;3.72;8.53;21.99
Horsegramdal(  Kulthidal );55.65;8.21;2.91;1.13;0.72;1.52;0.0;38.22
Panchmeldal;111.22;10.71;4.63;5.36;0.75;3.2;11.86;23.05
Daldhokli;68.74;8.55;2.96;2.47;1.12;1.86;0.0;14.54
Gujaratihandvo;207.09;31.86;8.24;4.8;2.51;4.95;1.93;68.21
Sev(  Omapodi/ Karapusa );609.14;12.87;5.12;60.08;0.53;2.35;0.0;13.95
Papdi;708.96;12.89;1.83;72.11;0.31;0.56;0.0;6.06
Jowardosa;294.35;40.53;8.5;10.28;0.59;5.56;0.0;19.46
Breadroll;435.46;16.12;2.85;40.25;0.94;1.45;0.0;44.83
Soyaseekhkebab;115.05;10.0;5.4;5.88;0.51;2.24;0.0;15.67
Classicseasonedblackbeans;28.78;7.66;8.01;8.28;0.44;3.51;0.0;40.11
Maachaanekidal;344.67;43.11;19.8;9.5;1.05;13.45;15.36;68.65
Garlicchickpeasoup(  Lahasunaurchanekashoraba );89.53;13.92;4.45;2.01;2.65;2.84;0.0;13.93
Whitesauce( thin );115.17;6.58;3.31;8.41;4.58;0.07;11.04;110.2
Whitesauce( medium );151.27;7.98;3.36;11.76;4.32;0.14;20.47;103.53
Whitesauce( thick );209.69;10.24;3.43;17.19;3.9;0.24;35.72;92.74
Cheesesauce;194.76;7.08;7.68;15.12;4.53;0.12;39.75;255.14
Eggsauce;146.85;5.88;5.97;11.08;3.19;0.12;111.08;89.49
Mushroomsauce;137.56;7.31;3.39;10.51;3.86;0.47;18.2;94.1
Mustardsauce;158.58;8.29;3.98;12.17;4.22;0.13;19.97;109.03
Brownsauce;109.18;5.38;11.92;23.67;0.13;1.69;0.0;40.44
Classicitalianpasta;42.12;4.4;0.57;2.45;2.94;1.36;1.7;19.55
Pastaspinachsauce;85.46;1.76;1.76;7.9;1.04;0.86;9.34;58.57
Pastacheesesauce;149.26;9.0;4.33;10.84;4.22;0.14;22.22;152.68
Mayonnaise;774.86;1.65;1.86;84.52;1.44;0.11;117.12;15.36
Lowcaloriequickmayonnaise;242.89;4.71;1.41;24.35;0.83;0.06;35.67;6.47
Thousandislanddressing;407.87;4.49;1.37;42.87;3.1;0.46;34.0;9.11
Curddip;79.95;7.95;5.04;3.36;7.12;0.1;10.59;167.17
Shortcrustpastry;422.1;44.72;6.11;23.98;3.18;1.58;61.0;16.9
Chouxpastry;222.37;16.2;5.55;14.96;1.5;0.56;125.01;19.43
Flakypastry;443.94;33.61;4.69;31.99;0.81;1.25;0.0;9.28
Spongecake;253.77;44.63;9.18;4.74;26.33;0.69;182.09;30.22
Glaceicing;323.51;86.31;0.01;0.01;85.35;0.0;0.0;1.95
Royalicing;332.58;86.53;1.74;0.02;85.57;0.0;0.0;2.87
Americanfrosting;257.57;67.48;1.05;0.01;67.46;0.0;0.0;7.05
Gumicing;223.07;53.19;5.94;0.0;52.63;0.0;0.0;18.62
Channamurmurapremix;339.09;72.59;10.59;3.28;1.52;8.21;0.0;21.36
Crackedwheatandgreengramdalpremix(  Daliamoongdalpremix );362.16;64.75;15.89;5.11;0.63;11.66;0.0;49.03
Riceflakesandroastedchanna;333.4;71.94;10.57;2.94;1.31;8.84;0.0;17.23
Spinachsoupinmilk;56.72;3.98;2.89;3.2;3.34;0.79;0.0;106.1
Vegetablesoup;55.21;7.6;2.22;1.55;1.61;3.01;3.34;18.1
Mashedbananawithmilk;95.43;14.62;2.51;2.99;11.35;0.71;0.0;78.64
Pohawithcurd(  Pohaaurdahi );173.32;26.72;6.01;4.65;5.46;1.09;13.37;140.9
Potatowithcurd;73.18;12.01;3.19;1.33;3.3;1.02;4.38;85.41
Sweetwheatporridge(  Sweetdalia );140.66;23.77;5.11;2.79;12.23;2.37;0.0;99.18
Vegetablekhichdi/khichri;143.17;19.57;5.61;4.53;3.71;2.45;11.92;100.54
Moongdalmixture;158.84;33.93;4.62;1.0;24.68;1.9;2.38;70.53
Crackedwheatkhichri/khichdi(  Daliakhichri/khichdi );167.45;22.35;7.56;5.52;3.79;3.74;14.62;123.04
Stewedapple;91.93;22.49;0.17;0.37;20.45;1.48;0.0;9.25
Lemonsquash(  Nimbukasquash );184.56;48.88;0.15;0.06;48.88;0.0;0.0;9.85
Orangesquash(  Santrekasquash );193.26;50.88;0.22;0.04;50.56;0.4;0.0;10.62
Lichisquash;198.33;51.96;0.3;0.08;51.31;0.41;0.0;6.39
Mangosquash(  Aamkasquash );194.66;50.96;0.17;0.17;50.84;0.58;0.0;9.47
Pineapplesquash(  Ananaskasquash );195.02;51.34;0.16;0.05;51.08;1.06;0.0;7.96
Lemonandgingersquash(  Nimbuauradrakkasquash );170.34;44.06;0.54;0.21;42.53;1.07;0.0;11.18
Applejam(  Sebkamurabba );188.79;48.56;0.14;0.32;46.76;1.29;0.0;10.84
Plumjam(  Aloobukharajam );178.89;46.2;0.31;0.19;45.25;1.0;0.0;7.5
Pineapplejam;149.18;38.27;0.32;0.15;37.44;2.2;0.0;10.47
Guavajelly(  Amroodkijelly );115.74;28.18;1.11;0.25;27.38;6.61;0.0;16.55
Orangemarmalade(  Santraykamurabba );104.17;25.94;0.66;0.13;25.09;1.97;0.0;17.59
Carrotmurabba(  Gajarkamurabba );175.24;45.6;0.32;0.16;44.83;1.39;0.0;15.86
Gooseberrymarmalade(  Amlamurabba );123.16;32.34;0.14;0.03;28.61;0.0;0.0;16.4
Gingercandy(  Adrakkicandy );195.71;50.38;0.69;0.27;47.99;1.67;0.0;10.43
Mangopickle(  Aamkaachaar );192.12;8.11;1.6;17.89;1.79;3.68;0.0;48.97
Mixedvegetablepickle(  Sabziyoonkaachaar );211.2;7.48;1.9;19.68;2.77;2.76;0.0;42.81
Sweetlemonpickle(  Neembukameethaachaar );69.54;16.87;1.22;0.21;14.63;2.13;0.0;42.57
Plumchutney(  Aloobukharakichutney );177.11;44.95;0.47;0.29;43.9;1.37;0.0;12.38
Rawmangochutney(  Kachheaam/ Kairikichutney );193.13;49.94;0.51;0.16;45.22;2.17;0.0;25.92
Tomatosauce;34.33;7.23;0.81;0.27;5.69;1.79;0.0;13.0
Tomatopuree;20.62;3.68;0.75;0.25;2.32;1.56;0.0;8.91
Garammasala;254.21;26.2;9.89;10.97;1.79;35.56;0.0;609.77
Chatmasala;222.58;23.87;8.19;9.91;0.79;18.62;0.0;519.5
Kashmirimasala;389.02;23.16;8.26;31.03;2.41;12.12;0.0;303.49
Rasampowder(  Rasammasala );267.96;25.19;12.04;11.8;1.91;35.71;0.0;562.15
Sambarpowder(  Sambarmasala );297.46;23.38;12.5;15.58;1.87;34.56;0.0;439.95
Tartaresauce;610.93;2.96;1.44;66.12;2.18;0.42;50.47;21.06
Barbequesauce;121.93;20.46;0.96;4.51;18.88;0.69;0.0;28.61
Breadsauce;111.04;8.69;3.46;7.05;4.63;0.56;8.48;110.72
Greenchillisauce;46.06;7.36;1.25;0.27;5.36;1.77;0.0;9.89
Homemadeplainnoodles;238.78;44.5;6.21;3.56;1.07;1.65;0.0;12.27
Dalmoong;43.69;4.92;2.2;1.62;0.13;1.08;3.55;7.69
Cuminseedsbaghar(  Jeerabaghar/tadka );736.81;5.22;3.34;78.77;0.49;6.01;189.23;177.77
Oniontomatobaghar(  Pyaaztamatarkatadka );137.52;6.17;1.26;11.98;3.51;2.12;29.17;20.45
Mustardseedsbaghar(  Mustardseedtadka );552.59;10.45;4.73;54.3;1.14;9.74;130.57;182.93
Hotcherrysauce;252.74;67.95;0.13;0.07;17.65;0.0;0.0;24.82
Applejelly(  Sebkijelly );152.13;39.37;0.1;0.21;38.18;0.86;0.0;7.89
Marmalade(  Murabba );143.76;37.64;0.23;0.04;37.29;0.43;0.0;9.84
Plumsquash(  Aloobukharasquash );211.17;55.51;0.16;0.1;55.02;0.52;0.0;6.9
Lemongreenchillipickle(  Nimbooaurharimirchkaachaar );14.07;2.14;0.85;0.24;1.0;1.07;0.0;20.05
Brinjalpickle(  Baingankaachaar );139.01;4.23;2.24;12.98;1.07;4.62;0.0;37.28
Sweetandsourtomatopickle(  Khattameethatamatarkaachaar );60.88;6.55;1.26;3.24;4.31;2.2;0.0;15.18
Jhatpatacharwithcarrot(  Jhatpatachaargajarkesaath );91.21;6.32;1.98;6.55;3.04;5.08;0.0;54.31
Tomatochutney(  Tamatarkichutney );176.07;31.85;0.97;6.01;30.02;1.49;0.0;25.34
Tomatoketchup;33.07;6.48;0.91;0.3;4.68;1.9;0.0;15.33
Bengal5 Spice Blend(  Panch Phoran );289.79;20.0;18.26;22.16;1.4;18.4;0.0;523.0
Boiled Broccoli;35.0;7.2;2.4;0.4;1.2;3.3;0.0;40.0
Steamed Spinach;23.0;3.6;2.9;0.4;0.4;2.2;0.0;99.0
Kale Steamed;28.0;5.6;2.7;0.4;0.8;2.0;0.0;150.0
Zucchini Boiled;17.0;3.1;1.2;0.3;1.7;1.0;0.0;16.0
Cauliflower Boiled;23.0;4.1;1.8;0.4;1.9;2.3;0.0;22.0
Cucumber Raw;15.0;3.6;0.7;0.1;1.7;0.5;0.0;16.0
Grilled Chicken Breast;165.0;0.0;31.0;3.6;0.0;0.0;85.0;12.0
Salmon Grilled;208.0;0.0;20.4;13.0;0.0;0.0;55.0;11.0
Turkey Breast Roasted;135.0;0.0;29.0;1.6;0.0;0.0;59.0;18.0
Cottage Cheese Low Fat;98.0;3.4;11.1;4.3;2.7;0.0;17.0;83.0
Tofu Firm;76.0;1.9;8.0;4.8;0.3;0.3;0.0;350.0
Boiled Lentils;116.0;20.0;9.0;0.4;1.8;7.9;0.0;19.0
Chickpeas Boiled;164.0;27.4;8.9;2.6;4.8;7.6;0.0;49.0
Black Beans Boiled;132.0;23.7;8.9;0.5;0.3;8.7;0.0;27.0
Edamame Boiled;121.0;8.9;11.9;5.2;2.2;5.2;0.0;63.0
Almonds Raw;579.0;21.6;21.2;49.9;4.4;12.5;0.0;269.0
Walnuts;654.0;13.7;15.2;65.0;2.6;6.7;0.0;98.0
Greek Yogurt Unsweet;59.0;3.6;10.0;0.4;3.2;0.0;5.0;110.0
Chia Seeds;486.0;42.1;16.5;30.7;0.0;34.4;0.0;631.0
Flax Seeds;534.0;28.9;18.3;42.2;1.6;27.3;0.0;255.0
Quinoa Cooked;120.0;21.3;4.4;1.9;0.9;2.8;0.0;17.0
Oats Cooked;71.0;12.0;2.5;1.5;0.3;2.0;0.0;80.0
Boiled Sweet Potato;90.0;20.1;2.0;0.2;4.2;3.3;0.0;30.0
Avocado;160.0;8.5;2.0;14.7;0.7;6.7;0.0;12.0
Apple Green;52.0;14.0;0.3;0.2;10.0;2.4;0.0;6.0
Blueberries;57.0;14.5;0.7;0.3;10.0;2.4;0.0;6.0
Strawberries;33.0;7.7;0.7;0.3;4.9;2.0;0.0;16.0
Boiled Egg White;52.0;0.7;11.0;0.2;0.2;0.0;0.0;7.0
Sardines In Water;208.0;0.0;25.0;11.0;0.0;0.0;142.0;382.0
Brown Rice Cooked;111.0;23.0;2.6;0.9;0.4;1.8;0.0;10.0
Brown Rice Cooked;111.0;23.0;2.6;0.9;0.4;1.8;0.0;10.0
Boiled Asparagus;20.0;3.9;2.2;0.1;1.3;2.1;0.0;24.0
Steamed Green Beans;31.0;7.0;1.8;0.2;3.3;3.4;0.0;37.0
Brussels Sprouts Boiled;36.0;7.1;2.6;0.5;1.8;3.8;0.0;36.0
Boiled Cabbage;23.0;5.5;1.3;0.1;2.9;2.4;0.0;49.0
Boiled Carrot;35.0;8.2;0.8;0.2;3.4;2.8;0.0;33.0
Baked Pumpkin;26.0;6.5;1.0;0.1;2.8;0.5;0.0;21.0
Turnip Boiled;22.0;5.2;0.7;0.1;3.2;1.8;0.0;30.0
Radish Raw;16.0;3.4;0.7;0.1;1.9;1.6;0.0;25.0
Beet Greens Cooked;27.0;4.3;2.6;0.2;2.5;2.7;0.0;98.0
Mustard Greens Cooked;27.0;4.7;2.9;0.4;1.6;3.2;0.0;103.0
Swiss Chard Boiled;19.0;3.7;1.9;0.2;1.1;1.6;0.0;58.0
Bok Choy Cooked;12.0;2.0;1.5;0.2;1.2;1.0;0.0;105.0
Eggplant Boiled;35.0;8.7;0.8;0.2;3.5;2.5;0.0;6.0
Okra Boiled;22.0;4.4;1.9;0.2;1.5;2.5;0.0;77.0
Artichoke Boiled;47.0;10.5;3.3;0.2;0.8;5.7;0.0;44.0
Arugula Raw;25.0;3.7;2.6;0.7;2.1;1.6;0.0;160.0
Collard Greens Boiled;33.0;5.7;2.7;0.6;0.4;4.0;0.0;145.0
Watercress Raw;11.0;1.3;2.3;0.1;0.2;0.5;0.0;120.0
Endive Raw;17.0;3.4;1.2;0.2;0.5;3.1;0.0;52.0
Cabbage Purple Raw;31.0;7.4;1.4;0.2;3.8;2.1;0.0;42.0
Mushroom White Boiled;28.0;5.3;2.2;0.3;1.0;1.0;0.0;3.0
Mushroom Oyster Boiled;33.0;6.1;3.3;0.4;1.2;2.5;0.0;3.0
Mushroom Portobello Grilled;29.0;4.3;2.9;0.4;0.9;1.3;0.0;3.0
Seaweed Wakame Boiled;22.0;3.0;3.0;0.6;0.3;1.3;0.0;150.0
Napa Cabbage Boiled;12.0;2.4;1.1;0.1;1.0;1.2;0.0;77.0
Bamboo Shoots Boiled;27.0;5.2;2.6;0.3;0.5;2.2;0.0;12.0
Celery Boiled;18.0;4.0;0.8;0.2;1.7;1.6;0.0;40.0
Bell Pepper Green Boiled;14.0;3.3;0.8;0.2;2.2;1.2;0.0;10.0
Bell Pepper Red Boiled;29.0;6.7;1.0;0.4;4.2;1.5;0.0;12.0
Onion Boiled;39.0;9.4;1.1;0.2;4.3;1.7;0.0;23.0
Green Peas Boiled;84.0;15.0;5.4;0.4;5.7;5.5;0.0;25.0
Boiled Peanuts Unsalted;318.0;16.1;13.5;25.8;0.9;8.5;0.0;50.0
Sunflower Seeds Dry;584.0;20.0;20.8;51.5;2.6;8.6;0.0;78.0
Pumpkin Seeds Dry;559.0;10.7;30.2;49.0;1.4;6.0;0.0;46.0
Hazelnuts Raw;628.0;16.7;15.0;60.8;4.3;9.7;0.0;114.0
Pistachios Raw;557.0;28.0;21.0;44.4;7.7;10.6;0.0;105.0
Cashews Raw;553.0;30.2;18.2;43.8;5.1;3.3;0.0;37.0
Tempeh;193.0;9.4;20.3;10.8;0.4;1.4;0.0;111.0
Boiled Green Gram;105.0;18.1;7.1;0.4;2.4;6.9;0.0;27.0
Boiled Kidney Beans;127.0;22.8;8.7;0.5;0.3;6.4;0.0;28.0
Boiled Navy Beans;140.0;26.0;8.2;0.6;0.5;10.5;0.0;50.0
Boiled Pinto Beans;143.0;26.2;9.0;0.7;0.5;9.0;0.0;46.0
Boiled Peas Split;118.0;21.1;8.3;0.4;2.5;8.3;0.0;11.0
Boiled Barley;123.0;28.2;2.3;0.4;0.3;3.8;0.0;29.0
Boiled Buckwheat;92.0;19.9;3.4;0.6;0.3;2.7;0.0;7.0
Boiled Millet;119.0;23.7;3.5;1.0;0.2;1.3;0.0;8.0
Boiled Farro;125.0;25.3;5.0;1.2;0.4;3.5;0.0;15.0
Boiled Freekeh;133.0;26.0;4.6;1.8;0.2;4.3;0.0;21.0
Boiled Couscous;112.0;23.2;3.8;0.2;0.2;1.4;0.0;8.0
Soba Noodles Cooked;99.0;21.4;5.1;0.1;2.1;0.9;0.0;9.0
Shirataki Noodles;10.0;2.3;0.0;0.0;0.0;2.3;0.0;3.0
Boiled Corn Sweet;96.0;21.0;3.4;1.5;3.4;2.4;0.0;2.0
Baby Corn Boiled;26.0;5.2;1.4;0.3;1.3;0.8;0.0;3.0
Pear Raw;57.0;15.0;0.3;0.1;9.8;3.1;0.0;9.0
Peach Raw;42.0;10.0;0.9;0.3;8.1;1.5;0.0;6.0
Orange Raw;47.0;12.0;0.9;0.1;9.0;2.4;0.0;40.0
Kiwi Raw;61.0;14.7;1.1;0.5;9.0;3.0;0.0;34.0
Grapefruit Raw;42.0;11.0;0.8;0.1;7.0;1.6;0.0;22.0
Papaya Raw;39.0;10.8;0.6;0.1;7.8;1.7;0.0;24.0
Guava Raw;68.0;14.3;2.6;1.0;5.4;5.4;0.0;18.0
Plum Raw;46.0;11.4;0.7;0.3;9.9;1.4;0.0;6.0
Apricot Raw;48.0;11.1;1.4;0.4;9.2;2.0;0.0;13.0
Blackberries Raw;43.0;10.2;1.4;0.5;4.9;5.3;0.0;29.0
Raspberries Raw;52.0;11.9;1.2;0.7;4.4;6.5;0.0;25.0
Cranberries Raw;46.0;12.2;0.4;0.1;4.3;4.6;0.0;8.0
Tomatoes Raw;18.0;3.9;0.9;0.2;2.6;1.2;0.0;10.0
Cherry Tomatoes;18.0;3.9;0.9;0.2;2.6;1.2;0.0;10.0
Boiled Potato No Skin;87.0;20.1;1.9;0.1;1.2;1.8;0.0;5.0
Turnip Greens Boiled;20.0;4.4;1.1;0.2;0.8;2.9;0.0;190.0
Beetroot Boiled;44.0;10.0;1.7;0.2;7.0;2.8;0.0;16.0
Red Lentils Boiled;120.0;20.1;9.0;0.4;1.5;7.9;0.0;19.0
White Fish Steamed;92.0;0.0;20.0;1.0;0.0;0.0;56.0;18.0
Cod Boiled;82.0;0.0;18.0;0.7;0.0;0.0;43.0;14.0
Tilapia Grilled;96.0;0.0;20.1;1.7;0.0;0.0;50.0;10.0
Shrimp Boiled;99.0;0.2;24.0;0.3;0.0;0.0;195.0;70.0
Crab Boiled;83.0;0.0;17.9;0.6;0.0;0.0;53.0;91.0
Clams Steamed;148.0;5.1;25.6;2.0;0.0;0.0;67.0;92.0
Oysters Steamed;81.0;4.2;9.0;2.3;0.0;0.0;25.0;83.0
Squid Boiled;92.0;3.1;15.6;1.4;0.0;0.0;233.0;32.0
Egg White Scrambled;50.0;1.1;10.0;0.2;0.6;0.0;0.0;6.0
Paneer Low Fat;92.0;3.2;11.0;4.0;2.1;0.0;17.0;200.0
Skim Milk;34.0;5.1;3.4;0.1;5.1;0.0;2.0;122.0
Soy Milk Unsweetened;33.0;1.8;2.9;1.6;0.2;0.5;0.0;25.0
Almond Milk Unsweetened;15.0;0.6;0.4;1.2;0.0;0.2;0.0;200.0
Coconut Water Unsweet;19.0;3.7;0.7;0.2;2.6;1.1;0.0;24.0
